Customer_ID,Blue's Rating,Rating Given,Company Chosen,Starting Location,Ending Location,Started Time,Ending Time,Unavailable Scooter,Breakdown,Breakdown Time
513,0.475764355,0,0,Manhattan,Jones,512,586,TRUE,FALSE,0
459,0.481747788,9,1,Jones,Stony,461,514,FALSE,FALSE,0
453,0.4818005,9,1,Jones,Manhattan,457,515,FALSE,FALSE,0
464,0.483328741,8,1,Jones,Manhattan,464,515,FALSE,FALSE,0
435,0.482493595,9,0,Queens,Manhattan,443,516,FALSE,FALSE,0
448,0.482112912,8,0,Manhattan,Queens,453,516,FALSE,FALSE,0
476,0.484873262,9,1,Stony,Queens,474,516,FALSE,FALSE,0
516,0.477193852,0,1,Jones,Manhattan,513,564,FALSE,TRUE,517
480,0.485994017,5,0,Stony,Jones,475,563,FALSE,TRUE,519
477,0.485994017,8,0,Manhattan,Jones,475,520,FALSE,FALSE,0
490,0.479049907,3,1,Manhattan,Queens,486,589,FALSE,TRUE,522
445,0.482517483,8,1,Queens,Manhattan,451,526,FALSE,FALSE,0
481,0.484807379,8,1,Queens,Stony,476,526,FALSE,FALSE,0
527,0.476596782,0,1,Manhattan,Jones,524,581,FALSE,TRUE,529
468,0.483062517,8,0,Stony,Jones,467,530,FALSE,FALSE,0
492,0.48029819,9,0,Stony,Queens,487,530,FALSE,FALSE,0
450,0.481574539,8,1,Manhattan,Jones,454,531,FALSE,FALSE,0
503,0.47804266,2,1,Queens,Manhattan,504,608,FALSE,TRUE,531
416,0.47961279,9,0,Manhattan,Queens,426,532,FALSE,FALSE,0
486,0.481801025,9,0,Stony,Queens,480,532,FALSE,FALSE,0
496,0.481136951,9,0,Queens,Stony,494,532,FALSE,FALSE,0
521,0.475922757,1,1,Manhattan,Queens,519,600,FALSE,TRUE,532
535,0.47575392,0,0,Manhattan,Queens,531,610,TRUE,FALSE,0
505,0.476965448,3,1,Queens,Manhattan,505,576,FALSE,TRUE,533
479,0.485994017,8,1,Jones,Manhattan,475,535,FALSE,FALSE,0
482,0.482842475,8,1,Manhattan,Jones,477,542,FALSE,TRUE,535
428,0.48028777,9,1,Manhattan,Queens,438,536,FALSE,FALSE,0
432,0.479873491,9,1,Stony,Jones,440,538,FALSE,FALSE,0
474,0.482475356,9,1,Jones,Manhattan,471,543,FALSE,TRUE,542
437,0.483305037,8,0,Manhattan,Queens,444,543,FALSE,FALSE,0
485,0.481801025,9,1,Jones,Manhattan,478,544,FALSE,FALSE,0
507,0.476011994,5,1,Jones,Stony,506,579,FALSE,TRUE,544
501,0.479245283,6,0,Jones,Stony,502,573,FALSE,TRUE,545
